1, contract, a binding agreement that is enforceable by law
2, assurance, a binding commitment to do or give or refrain from something
3, determine, find out or learn with certainty, as by making an inquiry
4, engage, consume all of one's attention or time
5, establish, set up or found
6, provision, the activity of supplying something
7, resolve, find a solution or answer
8, specific, stated explicitly or in detail
9, assure, inform positively and with certainty and confidence
10, cancel, declare null and void
11, cancelled, no longer planned or scheduled
12, obligation, the state of being bound to do or pay something
13, obligatory, required by compulsion or convention
14, provide, give something useful or necessary to
15, provision, the activity of supplying something
16, specify, be particular about
17, specification, naming explicitly
18, attract, exert a force on
19, compare, examine and note the similarities or differences of
20, competition, the act of contending as for profit or a prize
21, consume, take in as food
22, attract, exert a force on
23, compare, examine and note the similarities or differences of
24, competition, the act of contending as for profit or a prize
25, consume, take in as food
26, convince, make realize the truth or validity of something
27, fad, an interest followed with exaggerated zeal
28, inspiration, arousal of the mind to unusual activity or creativity
29, persuasion, communication intended to induce belief or action
30, productive, capable of bringing forth, especially abundantly
31, attraction, the quality of arousing interest
32, attractive, pleasing to the eye or mind as through beauty or charm
33, comparison, the act of examining resemblances
34, comparable, able to be described as similar
35, compete, engage in a contest or measure oneself against others
36, competitive, involving rivalry over something
37, consumer, a person who uses goods or services
38, satisfy, meet the requirements or expectations of
39, satisfactory, giving contentment
40, characteristic, typical or distinctive
41, consequence, a phenomenon that is caused by some previous phenomenon
42, consider, think about carefully; weigh
43, imply, express or state indirectly
44, promise, a verbal commitment agreeing to do something in the future
45, protect, shield from danger, injury, destruction, or damage
46, reputation, the general estimation that the public has for a person
47, require, have need of
48, variety, a category of things distinguished by a common quality
49, characterize, be typical of
50, consideration, the process of giving careful thought to something
51, considerable, large in number or amount or extent or degree
52, implication, something that is inferred
53, implicit, suggested though not directly expressed
54, protection, the activity of shielding someone or something
55, reputable, held in high esteem and honor
56, repute, the state of being held in high esteem and honor
57, requirement, necessary activity
58, requisite, necessary for relief or supply
59, address, the place where a person or organization can be found
60, demonstrate, give an exhibition of to an interested audience
61, develop, progress or evolve through a process of natural growth
62, evaluate, estimate the nature, quality, ability or significance of
63, gather, assemble or get together
64, primarily, for the most part
65, risk, a source of danger
66, strategy, an elaborate and systematic plan of action
67, substitution, putting one thing or person in the place of another
